Carrer Carrasco Formiguera, 6, 08395, Sant Pol de Mar
Passatge Domènech i Muntaner, 1, 08395, Sant Pol de Mar
Carrer Masia El Romeu s/n, s/n, 08212, Sant Llorenç Savall
Carrer Baumes, 17, 08212, Sant Llorenç Savall
Carrer Roca, 8, 08212, Sant Llorenç Savall
Passeig Marina, 195, 08860, Castelldefels
Carrer Diputació, 57, 08370, Calella
Carrer Muntanya, 7, 08192, Sant Quirze del Vallès
Carrer Serra de Sant Feliu, 33, 08211, Castellar del Vallès
Carrer Monte-Carlo, 27, 08397, Pineda de Mar
Carrer Rei Pere el Cerimonios, 57, 08800, Vilanova i la Geltrú
