Juneda	41.54944683	0.82509363	topo1	Juneda	1
Juncosa	41.37156183	0.77536977	topo1	Juncosa	1
Jonquera, la	42.41741552	2.87425625	topo1	la Jonquera	0
Linyola	41.71071948	0.90467345	topo1	Linyola	1
Lladorre	42.62110253	1.24950344	topo1	Lladorre	1
Lladurs	42.04466667	1.50825067	topo1	Lladurs	1
Llambilles	41.9211034	2.85951064	topo1	Llambilles	1
Llanars	42.32044312	2.34398894	topo1	Llanars	1
Llardecans	41.37403299	0.55005158	topo1	Llardecans	1
Llançà	42.36976614	3.16167556	topo1	Llançà	1
Llavorsí	42.49568176	1.21116728	topo1	Llavorsí	1
Llers	42.29540888	2.91235321	topo1	Llers	1
Lleida	41.61481376	0.62664877	topo1	Lleida	1
Llagostera	41.82891254	2.8920171	topo1	Llagostera	1
Lladó	42.24760608	2.81380313	topo1	Lladó	1
Juià	42.0171174	2.90679888	topo1	Juià	1
Llimiana	42.07496634	0.91615392	topo1	Llimiana	1
Lliçà d'Amunt	41.61109241	2.23801043	topo1	Lliçà d Amunt	1
Lliçà de Vall	41.58599828	2.2395559	topo1	Lliçà de Vall	1
Llorac	41.55656078	1.3075185	topo1	Llorac	1
Lloar, el	41.18593235	0.75091039	topo1	el Lloar	0
Lloret de Mar	41.69946593	2.84716747	topo1	Lloret de Mar	1
Llorenç del Penedès	41.28291792	1.55313474	topo1	Llorenç del Penedès	1
Maià de Montcal	42.22232301	2.74212925	topo1	Maià de Montcal	1
Madremanya	41.99007439	2.95724017	topo1	Madremanya	1
Maldà	41.5509404	1.04007727	topo1	Maldà	1
Malla	41.88706572	2.23464815	topo1	Malla	1
Malgrat de Mar	41.64616227	2.74186834	topo1	Malgrat de Mar	1
Margalef	41.28441912	0.75399189	topo1	Margalef	1
Manresa	41.72326357	1.82699748	topo1	Manresa	1
Llacuna, la	41.47257065	1.5337889	topo1	la Llacuna	0
Les	42.81008917	0.71045738	topo1	Les	1
Marganell	41.64096728	1.78931915	topo1	Marganell	1
Llosses, les	42.15054565	2.11680819	topo1	les Llosses	0
Masllorenç	41.26927629	1.41442794	topo1	Masllorenç	1
Llívia	42.46447483	1.98085535	topo1	Llívia	1
Masnou, el	41.47922686	2.31634446	topo1	el Masnou	0
Lluçà	42.06718427	2.07368239	topo1	Lluçà	1
Martorelles	41.52552477	2.24326297	topo1	Martorelles	1
Lles de Cerdanya	42.39033693	1.68755247	topo1	Lles de Cerdanya	1
Masdenverge	40.71580481	0.53103532	topo1	Masdenverge	1
Marçà	41.12609573	0.8002487	topo1	Marçà	1
Masarac i Vilarnadal	42.35043082	2.97403601	topo1	Masarac i Vilarnadal	1
Martorell	41.47442004	1.93062544	topo1	Martorell	1
Mas de Barberans	40.73468861	0.37391439	topo1	Mas de Barberans	1
Llinars del Vallès	41.63898605	2.40445682	topo1	Llinars del Vallès	1
Maspujols	41.18179331	1.04580941	topo1	Maspujols	1
Massanes	41.76590217	2.65177868	topo1	Massanes	1
Maçanet de la Selva	41.77744856	2.73083637	topo1	Maçanet de la Selva	1
Matadepera	41.59681928	2.0264056	topo1	Matadepera	1
Mataró	41.54082572	2.44625862	topo1	Mataró	1
Miravet	41.03791957	0.59757141	topo1	Miravet	1
Mieres	42.12305622	2.63812532	topo1	Mieres	1
Mediona	41.47667401	1.61290158	topo1	Mediona	1
Masquefa	41.50219584	1.81102275	topo1	Masquefa	1
Masroig, el	41.12654356	0.73147298	topo1	el Masroig	0
Massoteres	41.7974864	1.31073828	topo1	Massoteres	1
Mollet de Peralada	42.35980952	2.99977438	topo1	Mollet de Peralada	1
Molins de Rei	41.41390212	2.01589375	topo1	Molins de Rei	1
Mollerussa	41.62983521	0.89369687	topo1	Mollerussa	1
Mollet del Vallès	41.53632895	2.21104591	topo1	Mollet del Vallès	1
Monistrol de Calders	41.75984801	2.01387006	topo1	Monistrol de Calders	1
Molló	42.34677493	2.40461085	topo1	Molló	1
Mont-ras	41.9091538	3.1432303	topo1	Mont-ras	1
Montbrió del Camp	41.12072351	1.00351945	topo1	Montbrió del Camp	1
