CUSEC,vivienda turistica,plazas,plazas por vivienda turistica,Porcentaje vivienda turistica,PERIODO,PROV,MUN_LITERAL
0801909090,0,0,0.0,0.0,2025M11,8,Barcelona
0801909093,1,7,7.0,0.17094018,2025M11,8,Barcelona
0801909089,4,15,3.75,0.5405405,2025M11,8,Barcelona
0801907073,0,0,0.0,0.0,2025M11,8,Barcelona
0801909088,0,0,0.0,0.0,2025M11,8,Barcelona
0801909077,0,0,0.0,0.0,2025M11,8,Barcelona
0801909086,2,10,5.0,0.31496063,2025M11,8,Barcelona
0801909084,2,8,4.0,0.24449877,2025M11,8,Barcelona
0801909083,4,16,4.0,0.5405405,2025M11,8,Barcelona
0801907079,0,0,0.0,0.0,2025M11,8,Barcelona
0801909081,3,12,4.0,0.35005835,2025M11,8,Barcelona
0801907080,0,0,0.0,0.0,2025M11,8,Barcelona
0801907081,0,0,0.0,0.0,2025M11,8,Barcelona
0801909079,0,0,0.0,0.0,2025M11,8,Barcelona
0801909076,3,12,4.0,0.41208792,2025M11,8,Barcelona
0801909073,0,0,0.0,0.0,2025M11,8,Barcelona
0801909072,0,0,0.0,0.0,2025M11,8,Barcelona
0801907087,0,0,0.0,0.0,2025M11,8,Barcelona
0801907088,0,0,0.0,0.0,2025M11,8,Barcelona
0801909071,0,0,0.0,0.0,2025M11,8,Barcelona
0801909070,0,0,0.0,0.0,2025M11,8,Barcelona
0801909068,3,12,4.0,0.397351,2025M11,8,Barcelona
0801907078,2,12,6.0,0.3144654,2025M11,8,Barcelona
0801907089,0,0,0.0,0.0,2025M11,8,Barcelona
0801909067,0,0,0.0,0.0,2025M11,8,Barcelona
0801907092,1,4,4.0,0.1216545,2025M11,8,Barcelona
0801909065,0,0,0.0,0.0,2025M11,8,Barcelona
0801909064,0,0,0.0,0.0,2025M11,8,Barcelona
0801909058,2,8,4.0,0.26737967,2025M11,8,Barcelona
0801907096,0,0,0.0,0.0,2025M11,8,Barcelona
0801909060,0,0,0.0,0.0,2025M11,8,Barcelona
0801909057,0,0,0.0,0.0,2025M11,8,Barcelona
0801907099,0,0,0.0,0.0,2025M11,8,Barcelona
0801907100,0,0,0.0,0.0,2025M11,8,Barcelona
0801907101,0,0,0.0,0.0,2025M11,8,Barcelona
0801909054,1,4,4.0,0.18691589,2025M11,8,Barcelona
0801907103,0,0,0.0,0.0,2025M11,8,Barcelona
0801909051,5,20,4.0,0.71022725,2025M11,8,Barcelona
0801907105,0,0,0.0,0.0,2025M11,8,Barcelona
0801909049,1,4,4.0,0.18050541,2025M11,8,Barcelona
0801909045,1,4,4.0,0.14925373,2025M11,8,Barcelona
0801907109,0,0,0.0,0.0,2025M11,8,Barcelona
0801909044,1,4,4.0,0.124533,2025M11,8,Barcelona
0801909042,0,0,0.0,0.0,2025M11,8,Barcelona
0801907110,0,0,0.0,0.0,2025M11,8,Barcelona
0801907113,1,7,7.0,0.17482518,2025M11,8,Barcelona
0801909036,4,17,4.25,0.64412236,2025M11,8,Barcelona
0801907111,0,0,0.0,0.0,2025M11,8,Barcelona
0801909047,2,8,4.0,0.23068051,2025M11,8,Barcelona
0801907118,0,0,0.0,0.0,2025M11,8,Barcelona
0801907119,0,0,0.0,0.0,2025M11,8,Barcelona
0801909032,1,4,4.0,0.09881423,2025M11,8,Barcelona
0801909031,0,0,0.0,0.0,2025M11,8,Barcelona
0801907121,1,4,4.0,0.18726592,2025M11,8,Barcelona
0801909029,0,0,0.0,0.0,2025M11,8,Barcelona
0801909026,0,0,0.0,0.0,2025M11,8,Barcelona
