Sant Sadurní d'Anoia	Barcelona	7
Sant Sadurní d'Osormort	Barcelona	3
Sant Vicenç de Castellet	Barcelona	1
Sant Vicenç de Montalt	Barcelona	205
Sant Vicenç dels Horts	Barcelona	2
Santa Bàrbara	Tarragona	9
Santa Cecília de Voltregà	Barcelona	1
Santa Coloma de Cervelló	Barcelona	9
Santa Coloma de Farners	Girona	19
Santa Coloma de Gramenet	Barcelona	47
Santa Coloma de Queralt	Tarragona	7
Santa Cristina d'Aro	Girona	397
Santa Eulàlia de Ronçana	Barcelona	10
Santa Margarida de Montbui	Barcelona	4
Santa Maria d'Oló	Barcelona	1
Santa Maria de Besora	Barcelona	2
Santa Maria de Miralles	Barcelona	2
Santa Maria de Palautordera	Barcelona	18
Santa Oliva	Tarragona	18
Santa Pau	Girona	34
Santa Susanna	Barcelona	435
Santpedor	Barcelona	4
Sarral	Tarragona	3
Sarrià de Ter	Girona	1
Sarroca de Bellera	Lleida	6
Sarroca de Lleida	Lleida	1
Saus	Girona	3
Saus, Camallera i Llampaies	Girona	42
Savallà del Comtat	Tarragona	2
Secuita, la	Tarragona	10
Selva de Mar, la	Girona	40
Selva del Camp, la	Tarragona	10
Senan	Tarragona	2
Senterada	Lleida	12
Sentiu de Sió, la	Lleida	1
Sentmenat	Barcelona	6
Serinyà	Girona	10
Serra de Daró	Girona	13
Seròs	Lleida	2
Setcases	Girona	43
Seu d'Urgell, la	Lleida	53
Seva	Barcelona	30
Sils	Girona	70
Sitges	Barcelona	1718
Siurana	Girona	7
Sobremunt	Barcelona	4
Soleràs, el	Lleida	1
Solivella	Tarragona	2
Solsona	Lleida	44
Sora	Barcelona	2
Soriguera	Lleida	19
Sort	Lleida	135
Subirats	Barcelona	15
Sudanell	Lleida	1
Sunyer	Lleida	1
Susqueda	Girona	8
Sénia, la	Tarragona	10
Tagamanent	Barcelona	3
Talamanca	Barcelona	1
Talarn	Lleida	13
Talavera	Lleida	4
Tallada d'Empordà, la	Girona	23
Taradell	Barcelona	5
Tarragona	Tarragona	2081
Tarroja de Segarra	Lleida	2
Tarrés	Lleida	7
Tavertet	Barcelona	8
Tavèrnoles	Barcelona	2
Teià	Barcelona	43
Terrades	Girona	10
Terrassa	Barcelona	162
Tiana	Barcelona	23
Tiurana	Lleida	6
Tivenys	Tarragona	13
Tivissa	Tarragona	18
Tona	Barcelona	6
Tordera	Barcelona	126
Torms, els	Lleida	1
Tornabous	Lleida	1
Torre de Cabdella, la	Lleida	44
Torre de Claramunt, la	Barcelona	16
Torre de Fontaubella, la	Tarragona	3
Torre de l'Espanyol, la	Tarragona	4
Torrebesses	Lleida	3
Torredembarra	Tarragona	1226
Torrefarrera	Lleida	1
Torrefeta i Florejacs	Lleida	6
Torregrossa	Lleida	5
Torrelameu	Lleida	1
Torrelavit	Barcelona	2
Torrelles de Foix	Barcelona	14
Torrelles de Llobregat	Barcelona	7
Torrent	Girona	11
Torres de Segre	Lleida	2
Torroella de Fluvià	Girona	43
Torroella de Montgrí	Girona	2647
Torroja del Priorat	Tarragona	7
Tortellà	Girona	9
Tortosa	Tarragona	89
Torà	Lleida	9
Toses	Girona	20
Tossa de Mar	Girona	1476
Tremp	Lleida	99
Tàrrega	Lleida	26
Tírvia	Lleida	4
Ullastret	Girona	18
Ulldecona	Tarragona	28
Ulldemolins	Tarragona	22
Ullà	Girona	21
Ultramort	Girona	13
Urús	Girona	47
Vacarisses	Barcelona	9
Vajol, la	Girona	4
Vall d'en Bas, la	Girona	53
Vall de Bianya, la	Girona	18
Vall de Boí, la	Lleida	412
Vall de Cardós	Lleida	24
Vall-llobrega	Girona	50
Vallbona d'Anoia	Barcelona	2
Vallbona de les Monges	Lleida	6
Vallclara	Tarragona	1
Vallfogona de Balaguer	Lleida	6
Vallfogona de Ripollès	Girona	4
Vallfogona de Riucorb	Tarragona	1
Vallgorguina	Barcelona	36
Vallirana	Barcelona	9
Vallmoll	Tarragona	5
Vallromanes	Barcelona	36
Valls	Tarragona	7
Valls d'Aguilar, les	Lleida	10
Valls de Valira, les	Lleida	21
Vandellòs i l'Hospitalet de l'Infant	Tarragona	580
Vansa i Fórnols, la	Lleida	1
Veciana	Barcelona	1
Vendrell, el	Tarragona	879
Ventalló	Girona	55
Verdú	Lleida	2
Verges	Girona	14
Vespella de Gaià	Tarragona	30
Vic	Barcelona	46
Vidreres	Girona	296
Vidrà	Girona	8
Vielha e Mijaran	Lleida	309
Vila-rodona	Tarragona	4
Vila-sacra	Girona	2
Vila-sana	Lleida	5
Vila-seca	Tarragona	1448
Vilabella	Tarragona	1
Vilabertran	Girona	6
Vilablareix	Girona	5
Viladamat	Girona	14
Viladasens	Girona	4
Viladecans	Barcelona	22
Viladecavalls	Barcelona	3
Vilademuls	Girona	35
Viladrau	Girona	50
Vilafant	Girona	10
Vilafranca del Penedès	Barcelona	22
Vilajuïga	Girona	11
Vilalba dels Arcs	Tarragona	5
Vilaller	Lleida	31
Vilallonga de Ter	Girona	55
Vilallonga del Camp	Tarragona	1
Vilamacolum	Girona	9
Vilamalla	Girona	2
Vilamaniscle	Girona	9
Vilamòs	Lleida	14
Vilanant	Girona	10
Vilanova d'Escornalbou	Tarragona	13
Vilanova de Bellpuig	Lleida	3
Vilanova de Meià	Lleida	10
Vilanova de Prades	Tarragona	1
Vilanova de Sau	Barcelona	5
Vilanova de Segrià	Lleida	1
Vilanova de l'Aguda	Lleida	1
Vilanova del Vallès	Barcelona	8
Vilanova i la Geltrú	Barcelona	468
Vilaplana	Tarragona	3
Vilassar de Dalt	Barcelona	53
Vilassar de Mar	Barcelona	245
Vilaverd	Tarragona	3
Vilaür	Girona	13
Vilella Alta, la	Tarragona	3
Vilella Baixa, la	Tarragona	22
Vilobí d'Onyar	Girona	13
Vilobí del Penedès	Barcelona	5
Vilopriu	Girona	28
Vilosell, el	Lleida	8
Vimbodí	Tarragona	17
Vinaixa	Lleida	7
Vinebre	Tarragona	6
Vinyols i els Arcs	Tarragona	135
Xerta	Tarragona	8
Àger	Lleida	35
Òdena	Barcelona	5
Òrrius	Barcelona	9
