N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
06-2023-0367,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,2,74,,,,,,,2,1,HUTB-075540,3,"2,15415468522197","41,3987291938595"
06-2023-0369,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,2,74,,,,,,,AT,,HUTB-075486,1,"2,15415468522197","41,3987291938595"
06-2024-0030,06,GRACIA,31,la Vila de Gràcia,Carrer,OR,1,19,,,,,,,2,1,HUTB-076362,4,"2,15683869633767","41,4044664398538"
06-2024-0032,06,GRACIA,31,la Vila de Gràcia,Carrer,OR,1,19,,,,,,,3,1,HUTB-076363,5,"2,15683869633767","41,4044664398538"
06-2024-0033,06,GRACIA,31,la Vila de Gràcia,Carrer,OR,1,19,,,,,,,2,2,HUTB-076364,2,"2,15683869633767","41,4044664398538"
06-2024-0035,06,GRACIA,31,la Vila de Gràcia,Carrer,OR,1,19,,,,,,,3,2,HUTB-076371,2,"2,15683869633767","41,4044664398538"
06-2024-0038,06,GRACIA,31,la Vila de Gràcia,Carrer,OR,1,19,,,,,,,EN,1,HUTB-076372,4,"2,15683869633767","41,4044664398538"
06-2024-0039,06,GRACIA,31,la Vila de Gràcia,Carrer,OR,1,19,,,,,,,1,1,HUTB-076403,7,"2,15683869633767","41,4044664398538"
06-2024-0040,06,GRACIA,31,la Vila de Gràcia,Carrer,OR,1,19,,,,,,,1,2,HUTB-076405,2,"2,15683869633767","41,4044664398538"
06-2024-0041,06,GRACIA,31,la Vila de Gràcia,Carrer,OR,1,19,,,,,,,EN,2,HUTB-076647,1,"2,15683869633767","41,4044664398538"
06-2024-0101,06,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Passatge,ALIO,2,38,,,,,,,AT,1,HUTB-076913,3,"2,16522581945436","41,4036271824698"
06-2024-0109,06,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,5,B,,B,,,,PR,1,HUTB-076962,5,"2,16080243093735","41,3994410938649"
06-2024-0110,06,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,5,B,,B,,,,PR,2,HUTB-076961,5,"2,16080243093735","41,3994410938649"
06-2024-0111,06,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,5,B,,B,,,,2,1,HUTB-076960,3,"2,16080243093735","41,3994410938649"
06-2024-0114,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,1,15,,,,,,,PR,2,HUTB-076970,5,"2,15720158810314","41,3973687588181"
06-2024-0115,06,GRACIA,31,la Vila de Gràcia,Carrer,RIERA DE SANT MIQUEL,1,15,,,,,,,1,1,HUTB-076964,8,"2,15720158810314","41,3973687588181"
06-2024-0123,06,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,5,B,,B,,,,2,2,HUTB- 077011,5,"2,16080243093735","41,3994410938649"
06-2024-0127,06,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,5,B,,,,,,3,2,HUTB- 077012,3,"2,16080243093735","41,3994410938649"
06-2024-0128,06,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,5,B,,,,,,4,1,HUTB- 077013,2,"2,16080243093735","41,3994410938649"
06-2024-0129,06,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,5,B,,,,,,5,1,HUTB- 077014,2,"2,16080243093735","41,3994410938649"
06-2024-0130,06,GRACIA,31,la Vila de Gràcia,Carrer,LLIBERTAT,1,5,B,,,,,,5,2,HUTB- 077015,3,"2,16080243093735","41,3994410938649"
06-2024-0152,06,GRACIA,31,la Vila de Gràcia,Carrer,CAMPRODON,1,27,,,,,,,2,2,HUTB- 077209,6,"2,16419311867385","41,4010718097958"
06-2024-0154,06,GRACIA,31,la Vila de Gràcia,Carrer,CAMPRODON,1,27,,,,,,,1,1,HUTB- 077208,2,"2,16419311867385","41,4010718097958"
06-2024-0155,06,GRACIA,31,la Vila de Gràcia,Carrer,CAMPRODON,1,27,,,,,,,1,2,HUTB- 077207,4,"2,16419311867385","41,4010718097958"
06-2024-0156,06,GRACIA,31,la Vila de Gràcia,Carrer,CAMPRODON,1,27,,,,,,,1,3,HUTB- 077206,3,"2,16419311867385","41,4010718097958"
06-2024-0167,06,GRACIA,31,la Vila de Gràcia,Carrer,ASTURIES,1,43,,,,,,,1,2,HUTB-077392,2,"2,15461838189306","41,403610118683"
