41.84919,3.10872	1703401002	2.8812368
41.55031,2.29849	0890201003	1.0050251
41.46453,2.27296	0812601003	0.5473026
41.7029,1.12553	2521701002	0.6499536
41.26536,1.94891	0805604004	2.4571855
41.56849,2.52653	0803201001	2.5013306
41.13537,1.38359	4301201002	2.537151
41.37833,2.18829	0801901040	2.0028613
41.40272,2.20789	0801910072	1.6146394
41.89458,3.18049	1711702003	8.406874
41.41082,2.17592	0801902040	1.5028902
40.77079,0.67252	4390301001	1.4276444
41.40052,2.17443	0801902053	3.1818182
41.38206,0.94724	2525301001	2.5104601
41.39351,2.19545	0801910052	1.142355
41.21737,1.52768	4316303011	0.0
42.12478,3.12827	1706201003	10.446343
42.10957,3.16722	1706201005	7.467773
42.26425,3.17531	1715201001	6.998038
41.85062,3.12377	1711802002	2.6172302
41.02564,0.9233	4309201008	6.0597973
41.24381,1.7942	0827001004	2.6344087
41.40459,2.14706	0801905084	0.83682007
42.26582,3.17352	1715201001	6.998038
41.06947,1.15053	4390501006	9.332799
42.10676,3.14845	1706201005	7.467773
42.13079,0.99431	2511501001	1.109215
41.39108,2.15648	0801902084	3.5114503
41.55369,2.49251	0819702002	1.6792611
41.39945,2.18381	0801902013	1.305057
41.74152,2.81835	1709504001	4.9856734
41.57829,2.54669	0800602001	1.432958
41.91955,3.20706	1711701002	10.643016
41.98555,2.8252	1707904001	9.670079
42.11988,3.12876	1706201004	2.907916
41.06959,1.14814	4390501006	9.332799
41.64724,2.37131	0819801002	0.26845637
41.0173,0.94453	4309201008	6.0597973
41.39644,2.17392	0801902067	2.329749
42.28795,3.27398	1703201001	12.95164
41.41785,2.14341	0801906011	0.14749263
41.69101,2.28684	0808801001	0.45207956
42.0113,2.59946	1700701001	1.0108303
41.48038,2.25264	0828201002	0.24721879
41.57874,2.03404	0827906020	0.12391574
40.72706,0.83144	4390101004	19.797688
42.1163,3.13016	1706201002	6.0994363
42.31973,3.0308	1713201001	2.3111112
42.21361,2.64215	1701001001	3.187251
41.71116,2.87871	1709502003	11.281337
41.88324,2.87683	1704402002	0.08904719
41.40621,2.217	0801910080	1.3522215
41.37897,2.14677	0801902131	1.9736842
42.71283,0.79755	2524301003	3.767758
41.37237,2.16871	0801903018	1.1142061
41.71635,2.8589	1709503001	6.135531
41.25312,1.5507	4314001001	0.85261875
41.40789,2.18003	0801902032	3.5250463
41.24178,1.82219	0827002010	4.7992163
40.62784,0.59537	4313601005	2.8292682
41.61805,2.67315	0816301006	1.2724551
42.4329,1.92637	1714101002	2.0033388
40.99358,0.93087	4309201005	6.0032897
42.10568,3.15177	1706201005	7.467773
41.17447,1.47678	4313101002	2.220643
41.22582,1.71907	0830704004	0.8196721
42.30811,2.1703	1714501001	5.652759
41.98336,2.81857	1707903003	0.87822014
41.95983,3.05473	1790201001	1.1210762
41.38586,2.15669	0801902096	4.83871
41.21836,1.44052	4303001001	1.0362694
42.37963,1.73468	2517901001	1.8518518
41.78418,3.03154	1716003001	1.1061947
42.0203,2.97328	1713001001	2.2222223
41.92551,3.19045	1701301002	3.177966
41.39173,2.15544	0801902084	3.5114503
41.59336,2.57064	0804001007	0.7707129
41.71369,2.90133	1720201001	13.136499
41.07292,1.09455	4303802006	4.783163
41.84786,3.10771	1703401002	2.8812368
41.71739,1.42145	0817601001	5.681818
42.24048,3.12575	1704701003	11.263218
41.63787,2.6891	0816301003	2.2460938
42.25525,3.11089	1704701004	5.9880238
41.99442,1.51756	2520702002	0.78585464
41.05801,1.0206	4303802010	3.525741
41.62284,2.69273	0816301002	1.5892421
41.88965,3.17984	1711702003	8.406874
41.51039,1.6234	0828601002	0.47281325
41.16465,1.24486	4314807006	0.0
41.28351,1.96903	0805603002	0.913242
41.29161,1.76302	0814801002	4.5493565
41.13463,1.39002	4301201002	2.537151
41.94213,3.21218	1701301001	14.621272
41.13484,1.39335	4315301002	5.4678006
41.69124,2.78608	1702303004	1.682243
42.10944,3.14825	1706201005	7.467773
