Carrer Girona, 132, 08037, Barcelona	41.3978751	2.16727329	address	Carrer de Girona 132, Barcelona
Carrer Girona, 99, 08009, Barcelona	41.39619046	2.16913365	address	Carrer de Girona 99, Barcelona
Carrer GIRONA, 112, 08009, Barcelona	41.39694554	2.16850011	address	Carrer de Girona 112, Barcelona
Carrer de Girona, 99, 08009, Barcelona	41.39940797	2.16486966	address	Carrer de Girona 167-169, Barcelona
Carrer Girona, 97, 08009, Barcelona	41.39614137	2.16919811	address	Carrer de Girona 97, Barcelona
Carrer GIRALT EL PELLISSER, 8, 08003, Barcelona	41.38664495	2.17852721	address	Carrer d'en Giralt el Pellisser 24-28, Barcelona
Carrer Girona, 80, 08009, Barcelona	41.39545495	2.17047745	address	Carrer de Girona 80, Barcelona
Passeig Gracia, 3, 08007, Barcelona	41.38821731	2.1692719	address	Passeig de Gràcia 3, Barcelona
Travessera GRACIA, 366, 08025, Barcelona	41.40969247	2.17130655	address	Travessera de Gràcia 366, Barcelona
Passeig GRACIA, 3, 08007, Barcelona	41.38821731	2.1692719	address	Passeig de Gràcia 3, Barcelona
Passeig de Gràcia, 15, 08007, Barcelona	41.39774289	2.15849818	address	Passeig de Gràcia 122-124, Barcelona
Carrer GOYA, 16, 08012, Barcelona	41.39968952	2.15740881	address	Carrer de Goya 16, Barcelona
Carrer Goya, 7, 08012, Barcelona	41.39947717	2.15695202	address	Carrer de Goya 5-7, Barcelona
Passeig DE GRACIA, 15, 08007, Barcelona	41.39774289	2.15849818	address	Passeig de Gràcia 122-124, Barcelona
Passeig GRACIA, 15, 08007, Barcelona	41.38968052	2.16745608	address	Passeig de Gràcia 15, Barcelona
Passeig de gracia, 52, 08007, Barcelona	41.39774289	2.15849818	address	Passeig de Gràcia 122-124, Barcelona
Passeig Gràcia, 15, 08007, Barcelona	41.38968052	2.16745608	address	Passeig de Gràcia 15, Barcelona
Passeig de Gràcia, 16, 08007, Barcelona	41.39774289	2.15849818	address	Passeig de Gràcia 122-124, Barcelona
Passeig GRACIA, 23, 08007, Barcelona	41.39047291	2.16647796	address	Passeig de Gràcia 23, Barcelona
Passeig Gràcia, 44, 08007, Barcelona	41.39172352	2.16597426	address	Passeig de Gràcia 44, Barcelona
Passeig GRACIA, 64, 08007, Barcelona	41.39301647	2.16436831	address	Passeig de Gràcia 64, Barcelona
Passeig gràcia, 69, 08008, Barcelona	41.39339351	2.16286094	address	Passeig de Gràcia 69, Barcelona
Passeig Gràcia, 83, 08008, Barcelona	41.39430051	2.16174487	address	Passeig de Gràcia 83, Barcelona
Passeig GRACIA, 69, 08008, Barcelona	41.39339351	2.16286094	address	Passeig de Gràcia 69, Barcelona
Passeig Gràcia, 69, 08008, Barcelona	41.39339351	2.16286094	address	Passeig de Gràcia 69, Barcelona
Passeig Gràcia, 99, 08008, Barcelona	41.39532511	2.16047511	address	Passeig de Gràcia 99, Barcelona
Passeig Gràcia, 50, 08007, Barcelona	41.39199623	2.16563308	address	Passeig de Gràcia 50, Barcelona
Travessera Gràcia, 98, 08008, Barcelona	41.39886944	2.15409666	address	Travessera de Gràcia 98 B, Barcelona
Passeig Gràcia, 97, 08008, Barcelona	41.3952445	2.16057598	address	Passeig de Gràcia 97, Barcelona
Passeig de Gràcia, 52, 08007, Barcelona	41.39774289	2.15849818	address	Passeig de Gràcia 122-124, Barcelona
